Date,Value
1999-01-04,162.00
1999-01-05,159.30
1999-01-06,163.36
1999-01-07,170.50
1999-01-08,176.00
1999-01-11,178.75
1999-01-12,185.00
1999-01-13,181.00
1999-01-14,184.58
1999-01-15,195.70
1999-01-18,190.38
1999-01-19,181.50
1999-01-20,183.51
1999-01-21,180.53
1999-01-22,173.72
1999-01-25,173.25
1999-01-26,177.00
1999-01-27,182.50
1999-01-28,185.25
1999-01-29,186.45
1999-02-01,193.97
1999-02-02,186.70
1999-02-03,192.45
1999-02-04,189.50
1999-02-05,182.15
1999-02-08,182.25
1999-02-09,180.65
1999-02-10,182.50
1999-02-11,182.21
1999-02-12,179.50
1999-02-15,177.32
1999-02-16,178.75
1999-02-17,179.49
1999-02-18,173.90
1999-02-19,174.31
1999-02-22,171.69
1999-02-23,140.00
1999-02-24,172.25
1999-02-25,175.45
1999-02-26,177.00
1999-03-01,170.00
1999-03-02,169.92
1999-03-03,165.91
1999-03-04,165.66
1999-03-05,166.29
1999-03-08,163.62
1999-03-09,165.61
1999-03-10,166.19
1999-03-11,168.00
1999-03-12,164.50
1999-03-15,164.43
1999-03-16,160.00
1999-03-17,161.00
1999-03-18,159.00
1999-03-19,162.75
1999-03-22,164.38
1999-03-23,166.00
1999-03-24,170.15
1999-03-25,173.00
1999-03-26,169.00
1999-03-29,170.75
1999-03-30,166.00
1999-03-31,165.96
1999-04-01,165.70
1999-04-06,160.00
1999-04-07,161.50
1999-04-08,161.31
1999-04-09,155.40
1999-04-12,159.50
1999-04-13,169.50
1999-04-14,171.25
1999-04-15,167.50
1999-04-16,181.50
1999-04-19,179.75
1999-04-20,177.75
1999-04-21,185.58
1999-04-22,193.61
1999-04-23,192.78
1999-04-26,190.75
1999-04-27,186.64
1999-04-28,186.00
1999-04-29,178.00
1999-04-30,184.75
1999-05-04,192.65
1999-05-05,188.75
1999-05-06,190.00
1999-05-07,189.00
1999-05-10,184.00
1999-05-11,190.50
1999-05-12,185.25
1999-05-13,187.50
1999-05-14,184.81
1999-05-17,183.56
1999-05-18,182.56
1999-05-19,182.00
1999-05-20,178.30
1999-05-21,177.00
1999-05-24,177.77
1999-05-25,172.50
1999-05-26,172.16
1999-05-27,181.50
1999-05-28,181.75
1999-06-01,184.07
1999-06-02,185.67
1999-06-03,184.00
1999-06-04,186.20
1999-06-07,187.57
1999-06-08,184.75
1999-06-09,186.80
1999-06-10,187.63
1999-06-11,191.25
1999-06-14,177.80
1999-06-15,178.91
1999-06-16,172.65
1999-06-17,166.25
1999-06-18,171.00
1999-06-21,174.62
1999-06-22,172.17
1999-06-23,168.70
1999-06-24,168.50
1999-06-25,167.00
1999-06-28,168.39
