Date,Open,High,Low,Close,Volume
1999-01-04,170.50,173.50,154.00,162.00,26195875
1999-01-05,164.00,167.25,156.00,159.30,21138961
1999-01-06,163.50,165.00,161.25,163.36,15155219
1999-01-07,164.00,172.50,162.50,170.50,26975769
1999-01-08,169.50,181.00,169.00,176.00,36405498
1999-01-11,182.75,184.00,175.00,178.75,18143239
1999-01-12,177.25,189.00,174.00,185.00,32552830
1999-01-13,186.50,187.00,180.25,181.00,41574614
1999-01-14,180.25,226.47,176.00,184.58,32923195
1999-01-15,185.00,200.00,183.25,195.70,16515611
1999-01-18,191.50,197.75,181.00,190.38,14267899
1999-01-19,186.25,190.75,180.50,181.50,25966860
1999-01-20,183.50,187.66,181.50,183.51,12355605
1999-01-21,184.00,186.00,176.00,180.53,17543977
1999-01-22,177.50,179.75,170.00,173.72,18822307
1999-01-25,172.75,178.50,170.00,173.25,13413647
1999-01-26,174.50,178.50,174.50,177.00,19743419
1999-01-27,180.00,183.50,177.25,182.50,29358320
1999-01-28,182.25,190.00,181.00,185.25,45903622
1999-01-29,187.00,188.50,183.50,186.45,20787132
1999-02-01,193.75,201.50,190.50,193.97,23165645
1999-02-02,191.50,193.00,183.50,186.70,10931136
1999-02-03,185.50,196.00,184.00,192.45,26555289
1999-02-04,189.25,192.00,185.75,189.50,22299611
1999-02-05,188.50,190.00,178.00,182.15,18941118
1999-02-08,181.00,185.50,175.50,182.25,33404105
1999-02-09,185.25,186.00,174.50,180.65,16617910
1999-02-10,177.50,184.00,178.00,182.50,17315758
1999-02-11,182.50,184.75,179.50,182.21,23240941
1999-02-12,182.00,186.00,175.50,179.50,35094987
1999-02-15,179.50,180.50,175.00,177.32,8784945
1999-02-16,177.25,186.00,175.50,178.75,12086797
1999-02-17,178.50,182.00,174.20,179.49,23563030
1999-02-18,176.50,179.50,171.00,173.90,14119417
1999-02-19,174.00,177.00,168.50,174.31,9709030
1999-02-22,172.75,178.00,167.00,171.69,14207776
1999-02-23,175.50,177.00,140.00,140.00,20660956
1999-02-24,172.25,174.00,171.00,172.25,27895851
1999-02-25,172.00,179.00,171.50,175.45,27022984
1999-02-26,173.50,177.75,172.00,177.00,17564007
1999-03-01,175.00,178.75,166.50,170.00,28205156
1999-03-02,171.50,173.75,167.00,169.92,6817795
1999-03-03,170.00,170.00,161.00,165.91,33123649
1999-03-04,167.50,168.00,162.00,165.66,11978335
1999-03-05,166.50,168.50,164.00,166.29,15233510
1999-03-08,166.00,168.00,162.50,163.62,9906877
1999-03-09,165.00,167.50,164.00,165.61,21513811
1999-03-10,167.50,168.25,164.00,166.19,16806549
1999-03-11,166.75,170.00,165.50,168.00,12349631
1999-03-12,165.00,169.00,163.50,164.50,16454948
1999-03-15,164.50,169.00,161.50,164.43,17601706
1999-03-16,162.50,163.50,158.25,160.00,13467405
1999-03-17,161.50,163.00,157.50,161.00,42840882
1999-03-18,163.00,165.00,158.00,159.00,55973454
1999-03-19,161.00,164.50,157.00,162.75,13505279
1999-03-22,164.00,168.00,162.75,164.38,9691847
